[12/03/2020 18:45:39] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 9:31:43] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ charge] 
[13/03/2020 9:31:46] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 21] 
[13/03/2020 9:31:52] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 55] 
[13/03/2020 9:31:55] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 21] 
[13/03/2020 9:32:07] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 11] 
[13/03/2020 9:32:09] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 1] 
[13/03/2020 9:32:11] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 1] 
[13/03/2020 9:32:13] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 2] 
[13/03/2020 9:32:17] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 3] 
[13/03/2020 9:32:19] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 3] 
[13/03/2020 9:32:22] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 3] 
[13/03/2020 9:32:24] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 4] 
[13/03/2020 9:32:26] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 4] 
[13/03/2020 9:32:28] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 4] 
[13/03/2020 9:32:29] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 4] 
[13/03/2020 9:32:31] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 5] 
[13/03/2020 9:32:33] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 5] 
[13/03/2020 9:32:35] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 5] 
[13/03/2020 9:32:37] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 5] 
[13/03/2020 9:32:38] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 6] 
[13/03/2020 9:32:42] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 6] 
[13/03/2020 9:32:55] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 7] 
[13/03/2020 9:32:58] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 8] 
[13/03/2020 9:32:59] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 8] 
[13/03/2020 9:33:01] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 8] 
[13/03/2020 9:33:02] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 8] 
[13/03/2020 9:33:04] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 9] 
[13/03/2020 9:33:06] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 9] 
[13/03/2020 9:33:13] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 1] 
[13/03/2020 9:33:15] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 10] 
[13/03/2020 9:33:22] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 11] 
[13/03/2020 9:33:26] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 12] 
[13/03/2020 9:33:28] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 13] 
[13/03/2020 9:33:32] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 14] 
[13/03/2020 9:33:34] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 15] 
[13/03/2020 9:33:36] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 16] 
[13/03/2020 9:33:38] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 16] 
[13/03/2020 9:33:39] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 16] 
[13/03/2020 9:33:41] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 16] 
[13/03/2020 9:33:44] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 17] 
[13/03/2020 9:33:48] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 18] 
[13/03/2020 9:33:50] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 19] 
[13/03/2020 9:34:58] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 19] 
[13/03/2020 9:34:59] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 19] 
[13/03/2020 9:35:01] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 20] 
[13/03/2020 9:35:03] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 20] 
[13/03/2020 9:35:05] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 23] 
[13/03/2020 9:35:08] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 25] 
[13/03/2020 9:35:11] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 26] 
[13/03/2020 9:35:13] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 28] 
[13/03/2020 9:35:16] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 30] 
[13/03/2020 9:35:20] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 33] 
[13/03/2020 9:35:25] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 35] 
[13/03/2020 9:35:26] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 36] 
[13/03/2020 9:35:28] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 37] 
[13/03/2020 9:35:29] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 37] 
[13/03/2020 9:35:30] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 38] 
[13/03/2020 9:35:32] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 39] 
[13/03/2020 9:35:33] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 44] 
[13/03/2020 9:35:35] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 41] 
[13/03/2020 9:35:36] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 42] 
[13/03/2020 9:35:39] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 43] 
[13/03/2020 9:35:41] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 46] 
[13/03/2020 9:35:44] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 46] 
[13/03/2020 9:35:48] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 4] 
[13/03/2020 9:35:50] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 47] 
[13/03/2020 9:35:52] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 47] 
[13/03/2020 9:35:53] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 3] 
[13/03/2020 9:35:56] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 46] 
[13/03/2020 9:35:58] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 46] 
[13/03/2020 9:35:59] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 46] 
[13/03/2020 9:36:02] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 46] 
[13/03/2020 9:36:05] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_delete], Params: [] 
[13/03/2020 9:36:08] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 46] 
[13/03/2020 9:36:10] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 46] 
[13/03/2020 9:36:12] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:36:16] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:36:17] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:36:19] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:36:20] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:36:23] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 49] 
[13/03/2020 9:36:28] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:36:31] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [] 
[13/03/2020 9:36:33] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:36:38] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:36:41] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:36:42] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:36:44] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 848] 
[13/03/2020 9:36:46] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 8] 
[13/03/2020 9:36:47] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:36:49] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:36:51] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:36:52] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:37:02] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 50] 
[13/03/2020 9:37:05] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 51] 
[13/03/2020 9:37:09] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:37:10] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:37:12] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:37:13] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:37:15] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:37:16] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:37:18] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:37:19] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 48] 
[13/03/2020 9:37:25] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 111] 
[13/03/2020 9:37:28] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [ 112] 
[13/03/2020 9:37:31] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_admin], Params: [] 
