# route_id;npc_id;move_point;chatText;move_x;move_y;move_z;delay;running

5;31359;5;NULL;44444;49078;-3065;1;False
5;31359;6;NULL;44414;50025;-3065;1;False
5;31359;7;NULL;44957;50568;-3065;1;False
5;31359;8;NULL;44414;50025;-3065;1;False
5;31359;9;NULL;44444;49078;-3065;1;False
5;31359;10;The Mother Tree is slowly dying;45403;48436;-3065;5;False
5;31359;11;How can we save the Mother Tree?;46103;48798;-3065;5;False
5;31359;12;NULL;46444;49742;-3065;2;False
6;31358;1;Lady Mirabel may the peace of the lake be with you!;47015;51278;-2992;65;False
6;31358;2;NULL;47437;50441;-2992;1;False
6;31358;3;NULL;47509;49038;-2992;1;False
6;31358;4;NULL;46725;47755;-2992;1;False
6;31358;5;The Mother Tree is always so gorgeous!;45319;47339;-2992;5;False
6;31358;6;NULL;43998;47672;-2992;1;False
6;31358;7;NULL;43037;49310;-2992;1;False
6;31358;8;NULL;43310;50382;-2992;1;False
6;31358;9;NULL;43896;51060;-2992;1;False
6;31358;10;NULL;43312;50362;-2992;1;False
6;31358;11;NULL;43040;49311;-2992;1;False
6;31358;12;NULL;44018;47645;-2992;1;False
6;31358;13;The Mother Tree is always so gorgeous!;45301;47340;-2992;5;False
6;31358;14;NULL;46693;47752;-2992;1;False
6;31358;15;NULL;47489;48976;-2992;1;False
6;31358;16;NULL;47441;50455;-2992;1;False
7;31357;1;Where did he go?;-86328;241120;-3734;60;False
7;31357;2;NULL;-86505;240727;-3704;1;False
7;31357;3;NULL;-86081;240402;-3712;1;False
7;31357;4;Have you seen Windawood?;-86078;240853;-3720;15;False
7;31357;5;NULL;-85957;241389;-3728;1;False
7;31357;6;Where has he gone?;-83993;242766;-3728;10;False
7;31357;7;NULL;-82952;244461;-3728;1;False
7;31357;8;NULL;-82370;244919;-3720;1;False
7;31357;9;NULL;-82129;245020;-3720;1;False
7;31357;10;NULL;-82198;245350;-3712;1;False
7;31357;11;NULL;-82554;245137;-3716;1;False
7;31357;12;NULL;-82198;245350;-3712;1;False
7;31357;13;NULL;-82129;245020;-3720;1;False
7;31357;14;NULL;-82370;244919;-3720;1;False
7;31357;15;NULL;-82952;244461;-3728;1;False
7;31357;16;Where has he gone?;-83993;242766;-3728;10;False
7;31357;17;NULL;-85957;241389;-3728;1;False
7;31357;18;Have you seen Windawood?;-86078;240853;-3720;15;False
7;31357;19;NULL;-86081;240402;-3712;1;False
7;31357;20;NULL;-86505;240727;-3704;1;False
8;31356;1;A delivery for Mr. Lector? Very good!;-81681;243384;-3712;61;True
8;31356;2;NULL;-81915;243870;-3712;1;True
8;31356;3;NULL;-82084;243659;-3712;1;True
8;31356;4;NULL;-83148;243731;-3728;1;True
8;31356;5;I need a break!;-84497;243241;-3728;6;True
8;31356;6;NULL;-85212;243184;-3728;1;True
8;31356;7;NULL;-86161;242898;-3728;1;True
8;31356;8;NULL;-86281;242963;-3720;1;True
8;31356;9;Hello Mr. Lector! Long time no see Mr. Jackson!;-86356;243201;-3720;7;True
8;31356;10;NULL;-86491;242781;-3720;1;True
8;31356;11;NULL;-86497;242585;-3728;1;True
8;31356;12;NULL;-86114;241587;-3728;1;True
8;31356;13;NULL;-85184;240679;-3728;1;True
8;31356;14;Lulu! Lulu!;-84099;241264;-3728;6;True
8;31356;15;Lulu!;-83709;241238;-3728;1;True
8;31356;16;NULL;-83075;241150;-3728;1;True
8;31356;17;NULL;-82383;242926;-3720;1;True
9;31364;1;NULL;-46506;-109402;-238;10;False
9;31364;2;NULL;-45752;-111652;-240;1;False
9;31364;3;NULL;-44028;-112688;-240;1;False
9;31364;4;NULL;-44049;-114536;-240;1;False
9;31364;5;NULL;-45540;-115415;-240;1;False
9;31364;6;NULL;-46526;-117731;-240;1;False
9;31364;7;NULL;-45540;-115415;-240;1;False
9;31364;8;NULL;-44049;-114536;-240;1;False
9;31364;9;NULL;-44028;-112688;-240;1;False
9;31364;10;NULL;-45752;-111652;-240;1;False
10;31365;1;NULL;-48807;-113489;-241;61;False
10;31365;2;NULL;-48821;-113746;-232;1;False
10;31365;3;NULL;-48823;-113505;-232;61;False
10;31365;4;NULL;-47339;-113581;-232;1;False
10;31365;5;NULL;-45740;-113562;-240;1;False
10;31365;6;NULL;-44851;-112965;-240;1;False
10;31365;7;NULL;-44308;-113207;-240;1;False
10;31365;8;NULL;-44204;-113743;-240;1;False
10;31365;9;NULL;-44659;-114171;-240;1;False
10;31365;10;NULL;-45167;-114034;-224;1;False
10;31365;11;NULL;-45658;-113633;-240;1;False
10;31365;12;NULL;-47363;-113621;-224;1;False
10;31365;13;NULL;-48829;-113746;-232;1;False
10;31365;14;NULL;-47363;-113621;-224;1;False
10;31365;15;NULL;-45658;-113633;-240;1;False
10;31365;16;NULL;-45167;-114034;-224;1;False
10;31365;17;NULL;-44659;-114171;-240;1;False
10;31365;18;NULL;-44204;-113743;-240;1;False
10;31365;19;NULL;-44308;-113207;-240;1;False
10;31365;20;NULL;-44851;-112965;-240;1;False
10;31365;21;NULL;-45740;-113562;-240;1;False
11;32072;1;NULL;84429;-144065;-1542;10;False
11;32072;2;NULL;84465;-142493;-1536;1;False
11;32072;3;NULL;85234;-140963;-1536;1;False
11;32072;4;NULL;87351;-140059;-1536;5;False
11;32072;5;NULL;89343;-140746;-1536;1;False
11;32072;6;NULL;90605;-143167;-1536;1;False
11;32072;7;NULL;90271;-143869;-1536;10;False
11;32072;8;NULL;90605;-143167;-1536;1;False
11;32072;9;NULL;89343;-140746;-1536;1;False
11;32072;10;NULL;87351;-140059;-1536;5;False
11;32072;11;NULL;85234;-140963;-1536;1;False
11;32072;12;NULL;84465;-142493;-1536;1;False
12;32070;1;NULL;90271;-143869;-1547;10;True
12;32070;2;NULL;90605;-143167;-1536;1;True
12;32070;3;NULL;89343;-140746;-1536;1;True
12;32070;4;NULL;87351;-140059;-1536;5;True
12;32070;5;NULL;85234;-140963;-1536;1;True
12;32070;6;NULL;84465;-142493;-1536;1;True
12;32070;7;NULL;84434;-144061;-1528;10;True
12;32070;8;NULL;84465;-142493;-1536;1;True
12;32070;9;NULL;85234;-140963;-1536;1;True
12;32070;10;NULL;87351;-140059;-1536;5;True
12;32070;11;NULL;89343;-140746;-1536;1;True
12;32070;12;NULL;90605;-143167;-1536;1;True

# pet in giran harbor movie like official server

14;10500;1;NULL;48974;186046;-3512;5;false
14;10500;2;NULL;48910;186063;-3512;5;false
14;10500;3;NULL;48942;186151;-3512;5;false
14;10500;4;I need food! give me something food.....;48943;186069;-3512;5;false
14;10500;5;NULL;48992;186086;-3512;5;false
14;10500;6;NULL;48914;186064;-3512;5;false
14;10500;7;NULL;48974;186046;-3512;5;false
14;10500;8;NULL;48910;186063;-3512;5;false
14;10500;9;NULL;48942;186151;-3512;5;false
14;10500;10;NULL;48943;186069;-3512;5;false
14;10500;11;NULL;48992;186086;-3512;5;false
14;10500;12;NULL;48914;186064;-3512;5;false
14;10500;13;Cooper! give me little food!;48974;186046;-3512;5;false
14;10500;14;NULL;48910;186063;-3512;5;false
14;10500;15;NULL;48942;186151;-3512;5;false
14;10500;16;NULL;48943;186069;-3512;5;false
14;10500;17;NULL;48992;186086;-3512;5;false
14;10500;18;NULL;48914;186064;-3512;5;false
14;10500;19;NULL;48974;186046;-3512;5;false
14;10500;20;NULL;48910;186063;-3512;5;false
14;10500;21;NULL;48942;186151;-3512;5;false
14;10500;22;NULL;48943;186069;-3512;5;false
14;10500;23;NULL;48992;186086;-3512;5;false
14;10500;24;my name is katz...;48914;186064;-3512;5;false
14;10500;25;NULL;48974;186046;-3512;5;false
14;10500;26;NULL;48910;186063;-3512;5;false
14;10500;27;NULL;48942;186151;-3512;5;false
14;10500;28;NULL;48943;186069;-3512;5;false
14;10500;29;NULL;48992;186086;-3512;5;false
14;10500;30;NULL;48914;186064;-3512;5;false
14;10500;31;NULL;48974;186046;-3512;5;false
14;10500;32;NULL;48910;186063;-3512;5;false
14;10500;33;NULL;48942;186151;-3512;5;false
14;10500;34;NULL;48943;186069;-3512;5;false
14;10500;35;NULL;48992;186086;-3512;5;false
14;10500;36;NULL;48914;186064;-3512;5;false
14;10500;37;NULL;48974;186046;-3512;5;false
14;10500;38;NULL;48910;186063;-3512;5;false
14;10500;39;NULL;48942;186151;-3512;5;false
14;10500;40;NULL;48943;186069;-3512;5;false
14;10500;41;NULL;48992;186086;-3512;5;false
14;10500;42;NULL;48914;186064;-3512;5;false
# pet in giran town movie like official server
15;31205;1;NULL;81140;145885;-3559;5;false
15;31205;2;NULL;81079;145847;-3559;5;false
15;31205;3;NULL;81137;145796;-3559;5;false
15;31205;4;NULL;81057;145836;-3559;5;false
15;31205;5;NULL;81155;145841;-3559;5;false
# pet in aden town movie like official server
16;31208;1;NULL;145177;30396;-2487;5;false
16;31208;2;NULL;145101;30444;-2487;5;false
16;31208;3;NULL;145162;30504;-2487;5;false
16;31208;4;NULL;145135;30419;-2487;5;false
15;31208;5;NULL;145214;30457;-2487;5;false
16;31208;5;NULL;145150;30496;-2487;5;false
# pet in dion town movie like official server
17;31204;1;NULL;19289;142809;-3061;5;true
17;31204;2;NULL;19244;142866;-3059;5;true
17;31204;3;NULL;19318;142820;-3061;5;true
17;31204;4;NULL;19313;142902;-3061;5;true
17;31204;5;NULL;19253;142855;-3060;5;true
# pet in gludin town movie like official server
18;31202;1;NULL;-84743;150725;-3155;5;true
18;31202;2;NULL;-84807;150779;-3155;5;true
18;31202;3;NULL;-84765;150730;-3155;5;true
18;31202;4;NULL;-84812;150694;-3155;5;true
18;31202;5;NULL;-84819;150762;-3155;5;true
# pet in gludio town movie like official server
19;31203;1;NULL;-13874;123324;-3143;5;true
19;31203;2;NULL;-13925;123339;-3143;5;true
19;31203;3;NULL;-13928;123275;-3143;5;true
19;31203;4;NULL;-13925;123337;-3143;5;true
19;31203;5;NULL;-13868;123302;-3143;5;true
19;31203;5;NULL;-13930;123282;-3143;5;true
# pet in Goddard town movie like official server
20;31758;1;NULL;148891;-58410;-3007;5;false
20;31758;2;NULL;148966;-58355;-3007;5;false
20;31758;3;NULL;148898;-58363;-3007;5;false
# pet in Heine town movie like official server
21;31209;1;NULL;110602;219444;-3697;5;true
21;31209;2;NULL;110636;219499;-3697;5;true
21;31209;3;NULL;110563;219527;-3697;5;true
21;31209;4;NULL;110566;219453;-3697;5;true
21;31209;5;NULL;110562;219529;-3697;5;true
21;31209;6;NULL;110625;219505;-3697;5;true
# pet in Hunter town movie like official server
22;31207;1;NULL;117463;76054;-2745;5;true
22;31207;2;NULL;117415;76088;-2743;5;true
22;31207;3;NULL;117386;76027;-2750;5;true
22;31207;4;NULL;117422;76065;-2745;5;true
22;31207;5;NULL;117455;76006;-2749;5;true
# pet in Oren town movie like official server
23;31206;1;NULL;81962;54011;-1522;5;false
23;31206;2;NULL;82018;54021;-1522;5;false
23;31206;3;NULL;82002;54075;-1522;5;false
23;31206;4;NULL;81941;54027;-1522;5;false
# pet in Runes town movie like official server
24;31266;1;NULL;43386;-49473;-823;5;true
24;31266;2;NULL;43471;-49485;-823;5;true
24;31266;3;NULL;43487;-49544;-823;5;true
24;31266;4;NULL;43399;-49534;-823;5;true
24;31266;5;NULL;43452;-49564;-823;5;true
24;31266;6;NULL;43492;-49485;-823;5;true
# pet in Schuttgart town movie like official server
25;31955;1;NULL;86426;-140136;-1567;5;true
25;31955;2;NULL;86374;-140188;-1567;5;true
25;31955;3;NULL;86329;-140154;-1567;5;true
25;31955;4;NULL;86413;-140178;-1567;5;true
# Event npc in giran
26;20;1;NULL;82472;148133;-3474;2;true
26;20;2;NULL;82472;148133;-3474;50;true
26;20;3;NULL;82899;148619;-3474;3;true
26;20;4;NULL;82555;149099;-3474;3;true
26;20;5;NULL;83194;149592;-3474;3;true
26;20;6;NULL;83639;149528;-3410;1;true
26;20;7;NULL;83626;149451;-3410;120;true
26;20;8;NULL;83618;147703;-3410;3;true
26;20;9;NULL;82383;147721;-3474;3;true
26;20;10;NULL;82383;147721;-3474;3;true
26;20;11;NULL;82193;148012;-3474;3;true
